generation;avg-f1;avg-f2;avg-f3;sizepareto;time(ms);numberiterationfirstgenerationfixederror
218;2.5;5.74;11.97;12
219;2.47;5.44;11.95;11
220;2.53;5.27;11.88;12
221;2.58;5.75;11.99;14
222;2.55;5.73;12.02;13
223;2.45;5.58;11.97;13
224;2.38;5.33;11.88;11
225;2.38;5.53;11.92;12
226;2.51;5.42;12.0;11
227;2.52;6.01;11.88;12
228;2.28;4.87;11.99;11
229;2.68;5.9;11.87;13
230;2.64;5.68;11.97;13
231;2.45;5.51;12.03;13
232;2.65;5.57;12.01;11
233;2.55;5.73;11.97;11
234;2.4;5.58;12.01;11
235;2.48;5.24;11.92;11
236;2.72;5.74;11.94;13
237;2.43;5.42;11.89;13
238;2.57;5.48;11.94;12
239;2.39;5.14;12.08;13
240;2.47;5.73;11.91;12
241;2.34;5.67;11.86;12
242;2.51;5.63;12.03;12
243;2.39;5.3;11.86;11
244;2.41;5.69;11.94;13
245;2.49;5.58;11.83;13
246;2.55;5.2;11.97;12
247;2.43;5.47;11.9;12
248;2.41;4.73;11.99;13
249;2.57;5.43;11.87;11
250;2.47;4.77;11.95;11
251;2.53;5.37;12.08;12
252;2.45;5.29;11.99;12
253;2.39;5.63;11.94;13
254;2.38;5.17;11.95;13
255;2.6;5.12;11.98;13
256;2.62;5.48;11.99;12
257;2.52;5.74;11.93;13
258;2.45;4.92;11.98;11
259;2.41;5.08;11.9;13
260;2.45;5.09;12.02;12
261;2.52;5.31;11.97;12
262;2.45;5.53;11.82;11
263;2.5;5.35;12.01;13
264;2.47;5.4;11.89;13
265;2.44;5.48;11.99;13
266;2.41;5.06;12.06;12
267;2.54;5.36;11.88;12
268;2.43;4.8;11.94;12
269;2.48;5.42;11.98;12
270;2.55;5.32;11.98;13
271;2.51;5.35;11.92;13
272;2.6;5.12;12.07;13
273;2.54;5.66;12.03;12
274;2.53;5.45;11.98;11
275;2.45;5.57;11.99;12
276;2.47;5.74;11.83;10
277;2.56;5.43;11.98;13
278;2.51;5.3;12.07;12
279;2.59;5.63;11.99;12
280;2.69;5.49;12.15;13
281;2.51;5.09;12.05;13
282;2.72;5.3;12.01;11
283;2.65;5.06;11.99;13
284;2.62;5.36;11.88;12
285;2.49;5.51;11.78;12
286;2.54;5.45;11.89;13
287;2.66;5.25;11.97;13
288;2.48;5.55;11.94;12
289;2.48;5.35;12.17;12
290;2.49;5.6;11.96;11
291;2.45;5.17;11.96;12
292;2.51;5.14;11.95;11
293;2.66;5.68;11.94;13
294;2.46;5.29;11.97;12
295;2.49;5.7;11.98;12
296;2.52;5.18;11.98;13
297;2.53;5.64;11.94;13
298;2.43;5.24;11.96;12
299;2.5;5.15;11.88;13
300;2.51;5.12;11.93;12
301;2.6;4.88;11.97;12
302;2.57;5.53;11.95;13
303;2.6;5.37;12.01;12
304;2.51;5.67;11.99;13
305;2.43;5.34;12.03;12
306;2.54;5.77;11.92;13
307;2.3;5.31;11.98;12
308;2.53;5.02;11.93;12
309;2.52;5.25;12.07;13
310;2.4;5.56;12.09;14
311;2.63;5.41;11.91;11
312;2.46;5.34;12.01;11
313;2.55;5.61;11.88;13
314;2.53;5.5;11.94;13
315;2.52;5.32;12.03;14
316;2.52;5.41;11.89;12
317;2.56;5.32;12.0;12
318;2.52;5.66;12.02;13
319;2.38;5.31;11.93;12
320;2.55;5.5;11.91;11
321;2.64;6.02;12.08;16
322;2.66;5.45;12.0;13
323;2.49;5.8;12.07;15
324;2.43;5.24;11.97;12
325;2.61;5.48;11.96;13
326;2.49;5.68;12.1;13
327;2.44;5.46;11.94;12
328;2.4;4.99;12.03;11
329;2.57;5.22;12.03;13
330;2.49;5.38;12.03;13
331;2.51;5.72;11.86;13
332;2.5;5.32;12.09;13
333;2.49;5.8;12.01;12
334;2.48;5.62;11.99;12
335;2.33;5.37;11.94;12
336;2.08;4.64;12.09;11
337;2.06;4.59;12.04;12
338;2.12;4.92;12.11;13
339;2.15;5.12;12.03;12
340;2.2;4.63;12.1;12
341;2.11;5.15;12.0;12
342;2.11;5.33;12.06;12
343;2.14;5.3;11.88;12
344;2.14;4.96;12.02;11
345;2.13;4.41;12.11;13
346;2.07;4.84;12.03;12
347;2.06;4.6;12.0;12
348;1.99;4.8;12.04;12
349;2.16;4.47;12.09;11
350;2.13;4.73;12.06;11
351;2.2;4.65;12.02;12
352;2.19;5.28;12.0;11
353;2.21;5.01;12.05;12
354;2.16;4.07;12.07;11
355;2.21;4.32;12.03;10
356;2.19;4.5;12.08;12
357;2.34;4.53;12.04;11
358;2.18;4.43;12.11;12
359;2.23;4.3;12.05;10
360;2.28;4.35;11.99;12
361;2.26;4.59;11.97;11
362;2.12;4.53;12.07;14
363;2.2;4.88;12.02;12
364;2.33;5.07;12.17;12
365;2.21;4.49;12.02;12
366;2.32;4.52;12.11;13
367;2.2;4.68;12.1;13
368;2.24;4.47;12.05;11
369;2.25;4.87;12.01;13
370;2.27;4.62;12.13;12
371;2.21;5.08;12.06;11
372;2.07;4.67;12.08;12
373;2.18;4.91;11.99;12
374;2.15;4.96;11.98;11
375;2.16;5.02;11.95;12
376;2.27;4.84;12.0;13
377;2.23;4.51;11.96;11
378;2.31;4.65;12.01;11
379;2.3;5.03;11.94;11
380;2.28;4.97;12.0;13
381;2.21;4.69;12.06;12
382;2.26;5.09;11.92;11
383;2.21;4.62;12.13;12
384;2.3;5.15;11.9;13
385;2.22;4.82;12.03;13
386;2.24;4.93;11.97;11
387;2.22;4.9;12.05;12
388;2.28;5.04;12.0;11
389;2.24;4.93;12.08;12
390;2.23;4.84;11.9;13
391;2.22;4.39;12.06;12
392;2.28;4.62;12.08;13
393;2.35;4.58;12.05;10
394;2.24;5.21;11.99;11
395;2.23;5.16;12.0;12
396;2.28;4.87;12.05;11
397;2.21;5.26;12.0;12
398;2.3;5.43;11.98;13
399;2.29;5.05;11.97;12
400;2.23;5.1;12.03;14
401;2.33;5.21;12.0;13
402;2.21;5.18;11.9;12
403;2.16;4.59;11.99;12
404;2.4;5.12;12.09;13
405;2.33;5.0;12.01;11
406;2.24;4.79;11.97;11
407;2.38;5.39;12.01;12
408;2.28;4.99;11.93;14
409;2.33;5.05;11.99;11
410;2.24;5.7;12.06;14
411;2.25;4.53;11.9;11
412;2.37;5.17;11.99;11
413;2.35;5.16;12.02;13
414;2.21;4.91;12.06;12
415;2.22;4.98;12.14;13
416;2.24;4.89;12.01;10
417;2.29;5.24;12.1;12
418;2.26;5.26;12.07;12
419;2.32;5.13;11.85;12
420;2.2;5.32;11.93;12
421;2.25;5.31;11.91;14
422;2.31;5.47;12.11;13
423;2.36;5.15;11.98;11
424;2.16;4.8;11.9;12
425;2.26;5.37;12.05;13
426;2.2;4.61;12.06;12
427;2.19;5.08;11.91;11
428;2.25;5.14;11.95;14
429;2.27;5.01;11.95;12
430;2.31;5.11;11.95;13
431;2.26;4.96;12.02;12
432;2.2;4.8;11.98;12
433;2.24;5.1;11.99;12
434;2.28;5.79;11.95;14
435;2.18;5.17;12.08;13
436;2.2;4.8;12.07;11
437;2.28;4.8;11.94;11
438;2.32;5.55;12.12;13
439;2.36;5.33;12.0;13
440;2.18;5.06;12.02;12
